Time [s],Packet ID,MOSI,MISO
4.35e-005,0,0xBF,0x86
0.00046754,0,0x0B,0x7A
0.00089556,0,0xFF,0x1F
0.00133132,0,0xFF,0x86
0.15605858,1,0xFF,0x00
0.15649436,1,0xFF,0x04
0.15693014,1,0xFF,0x1F
0.1572889,1,0xFF,0xC1
0.21205826,2,0xBF,0x80
0.2124823,2,0x1B,0x04
0.2129103,2,0xFF,0x1F
0.2133461,2,0xFF,0x8D
0.3600724,3,0xFF,0x06
0.36050816,3,0xFF,0x7A
0.36094394,3,0xFF,0x1F
0.36137972,3,0xFF,0x8D
0.51607872,4,0xBF,0x86
0.51650274,4,0x0B,0x7A
0.51693078,4,0xFF,0x1F
0.51736654,4,0xFF,0x85
0.66809332,5,0xFF,0x00
0.66852906,5,0xFF,0x02
0.66888788,5,0xFF,0x0F
0.6693236,5,0xFF,0xE1
0.71609254,6,0xBF,0x80
0.71651656,6,0x1B,0x04
0.71694458,6,0xFF,0x1F
0.71738036,6,0xFF,0x8D
0.86410666,7,0xFF,0x03
0.86446542,7,0xFF,0x3D
0.86490122,7,0xFF,0x0F
0.865337,7,0xFF,0xC6
1.020113,8,0xBF,0x86
1.02053702,8,0x0B,0x7A
1.02096504,8,0xFF,0x1F
1.02140082,8,0xFF,0x82
1.16812738,9,0xFF,0x00
1.16856314,9,0xFF,0x06
1.16892192,9,0xFF,0x47
1.16931244,9,0xFF,0xE1
1.2121261,10,0xBF,0x80
1.21255014,10,0x1B,0x0C
1.21297816,10,0xFF,0x9F
1.21333694,10,0xFF,0xC3
1.37214142,11,0xFF,0x06
1.37257718,11,0xFF,0x7A
1.37301296,11,0xFF,0x1F
1.37344874,11,0xFF,0x8D
1.51614656,12,0xBF,0x86
1.51657058,12,0x0B,0x7A
1.5169986,12,0xFF,0x1F
1.51743438,12,0xFF,0x82
1.6681614,13,0xFF,0x00
1.66852018,13,0xFF,0x08
1.66895596,13,0xFF,0x8F
1.66939172,13,0xFF,0xC2
1.71616038,14,0xBF,0x80
1.7165844,14,0x1B,0x11
1.71701242,14,0xFF,0x1F
1.7174482,14,0xFF,0x8D
1.8641745,15,0xFF,0x06
1.86461028,15,0xFF,0x7A
1.86504606,15,0xFF,0x1F
1.86548182,15,0xFF,0x8D
2.01618056,16,0xDF,0xC3
2.01653936,16,0x83,0x1F
2.0168709,16,0x7F,0x43
2.01729892,16,0xFF,0xF0
2.16419498,17,0xFF,0x00
2.16463076,17,0xFF,0x14
2.1650665,17,0xFF,0xCF
2.1654253,17,0xFF,0xC2
2.2121942,18,0xBF,0x80
2.21261822,18,0x1B,0x14
2.21304624,18,0xFF,0x9F
2.21348202,18,0xFF,0x8D
2.3642088,19,0xFF,0x06
2.36464456,19,0xFF,0x7D
2.36500334,19,0xFF,0x0F
2.36543912,19,0xFF,0xC3
2.52021488,20,0xBF,0x86
2.5206389,20,0x05,0x7D
2.52099768,20,0xFF,0x0F
2.52142572,20,0xFF,0xC2
2.66822926,21,0xFF,0x00
2.66866504,21,0xFF,0x16
2.6691008,21,0xFF,0x9F
2.66953658,21,0xFF,0x85
2.71622848,22,0xBF,0x80
2.7166525,22,0x1B,0x16
2.71708052,22,0xFF,0x9F
2.71751628,22,0xFF,0x8D
2.8642426,23,0xFF,0x06
2.86467838,23,0xFF,0x7D
2.86503714,23,0xFF,0x0F
2.86542766,23,0xFF,0xE3
3.02024894,24,0xBF,0x86
3.02067296,24,0x0B,0x7A
3.02110096,24,0xFF,0x1F
3.02153674,24,0xFF,0x85
3.16426308,25,0xFF,0x00
3.16469886,25,0xFF,0x17
3.16513462,25,0xFF,0x9F
3.16549338,25,0xFF,0xC0
3.21226204,26,0xBF,0x80
3.21268608,26,0x1B,0x17
3.2131141,26,0xFF,0x9F
3.21354986,26,0xFF,0x8D
3.3642769,27,0xFF,0x06
3.36463568,27,0xFF,0x3D
3.36507146,27,0xFF,0x0F
3.36550722,27,0xFF,0xC6
3.5162825,28,0xBF,0x86
3.51670654,28,0x0B,0x7A
3.51713454,28,0xFF,0x1F
3.51757034,28,0xFF,0x85
3.6882985,29,0xFF,0x00
3.68873428,29,0xFF,0x11
3.68917004,29,0xFF,0x9F
3.68960582,29,0xFF,0x85
3.74429816,30,0xBF,0x80
3.7447222,30,0x1B,0x11
3.74515022,30,0xFF,0x9F
3.74558598,30,0xFF,0x8D
3.89631276,31,0xFF,0x06
3.89674854,31,0xFF,0x7A
3.89718432,31,0xFF,0x1F
3.8976201,31,0xFF,0x86
4.0523191,32,0xBF,0x86
4.05274314,32,0x0B,0x7A
4.05317114,32,0xFF,0x0F
4.05352992,32,0xFF,0xC2
4.20033348,33,0xFF,0x00
4.20076926,33,0xFF,0x0F
4.20120504,33,0xFF,0x1F
4.2016408,33,0xFF,0x85
4.24433248,34,0xBF,0x80
4.2447565,34,0x1B,0x0F
4.24518452,34,0xFF,0x1F
4.24562028,34,0xFF,0x8D
4.39634658,35,0xFF,0x06
4.39678236,35,0xFF,0x7A
4.39721814,35,0xFF,0x1F
4.3975769,35,0xFF,0xC3
4.55235316,36,0xBF,0x86
4.55277718,36,0x0B,0x7A
4.55320522,36,0xFF,0x1F
4.55364098,36,0xFF,0x85
4.7043675,37,0xFF,0x00
4.7048033,37,0xFF,0x0D
4.70523908,37,0xFF,0x9F
4.70567484,37,0xFF,0x85
4.76436742,38,0xBF,0x80
4.76479144,38,0x1B,0x0D
4.76521944,38,0xFF,0x9F
4.76565524,38,0xFF,0x8D
4.9123818,,0xFF,0x06
4.91281756,,0xFF,0x7A
4.91325334,,0xFF,0x1F
4.91368906,,0xFF,0xC6
