Time [s],Packet ID,MOSI,MISO
4.75e-005,0,'255','0'
0.00048328,0,'255','0'
0.00091906,0,'255','154'
0.00135482,0,'255','133'
0.04804622,1,'181','128'
0.04847026,1,'27','0'
0.04889826,1,'255','154'
0.049334,1,'255','198'
0.20006102,2,'255','3'
0.20041986,2,'255',=
0.2008556,2,'255',\r
0.2012914,2,'255',F
0.35206742,3,'181','134'
0.35249146,3,'11',z
0.35291948,3,'255','26'
0.35335526,3,'255','133'
0.508082,4,'255','0'
0.50851778,4,'255','0'
0.50887656,4,'255',f
0.50926706,4,'255','161'
0.56808166,5,'181','128'
0.56850568,5,'27','0'
0.56893368,5,'255','154'
0.56936946,5,'255','141'
0.71609602,6,'255','6'
0.7165318,6,'255',|
0.71684532,6,'255','134'
0.71728108,6,'255','163'
0.87210236,7,'186','131'
0.87246112,7,'130',>
0.8728399,7,'255','134'
0.8732679,7,'255','161'
1.0161165,8,'255','0'
1.01655226,8,'255','0'
1.01698804,8,'255','157'
1.01734682,8,'255',B
1.06411546,9,'181','128'
1.06453948,9,'27','0'
1.06496752,9,'255','154'
1.06540328,9,'255','141'
1.2121301,10,'255','6'
1.21256586,10,'255',z
1.21300164,10,'255','26'
1.2134374,10,'255','141'
1.36813616,11,'181','134'
1.3685602,11,'11',z
1.36898822,11,'255','26'
1.369424,11,'255','133'
1.51615054,12,'255','0'
1.51658632,12,'255','0'
1.5170221,12,'255','154'
1.51745786,12,'255','134'
1.56414926,13,'181','128'
1.5645733,13,'27','0'
1.5650013,13,'255','154'
1.56543702,13,'255','198'
1.71616436,14,'255','6'
1.71660014,14,'255',z
1.71703592,14,'255','26'
1.71747168,14,'255','141'
1.86416974,15,'181','134'
1.86459376,15,'11',z
1.86502178,15,'255','26'
1.86545752,15,'255','194'
2.01618434,16,'255','0'
2.0165431,16,'255','0'
2.01693362,16,'255',&
2.0173694,16,'255','161'
2.06418328,17,'186','128'
2.06454208,17,'140','0'
2.06492084,17,'255',&
2.06534886,17,'255','163'
2.28820322,18,'255','6'
2.288639,18,'255',z
2.28907478,18,'255','26'
2.28951056,18,'255','141'
2.45220976,19,'181','134'
2.45263378,19,'11',z
2.4530618,19,'255','26'
2.45349752,19,'255','194'
2.59222368,20,'255','0'
2.59265946,20,'255','0'
2.59309522,20,'255','154'
2.593531,20,'255','133'
2.64022262,21,'181','128'
2.64064668,21,'27','0'
2.6410747,21,'255','154'
2.64151046,21,'255','141'
2.7922375,22,'255','6'
2.79267326,22,'255',z
2.79310902,22,'255','29'
2.79346782,22,'255',F
2.94824382,23,'157','129'
2.9485101,23,'160','207'
2.94883362,23,_,'208'
2.94926162,23,'255','212'
3.09625794,24,'255','0'
3.09669372,24,'255','0'
3.0971295,24,'255','154'
3.09756528,24,'255','133'
3.14025644,25,'181','128'
3.14068046,25,'27','0'
3.14110848,25,'255','154'
3.14154424,25,'255','141'
3.29627176,26,'255','6'
3.29670754,26,'255',z
3.2971433,26,'255','28'
3.29745684,26,'255','163'
3.44827736,27,'181','134'
3.4487014,27,'11',z
3.44912942,27,'255','26'
3.44956518,27,'255','133'
3.59229152,28,'255','0'
3.59272728,28,'255','0'
3.59308604,28,'255',M
3.59352184,28,'255',B
3.6442907,29,'181','128'
3.64471472,29,'27','0'
3.64514276,29,'255','154'
3.64557852,29,'255','141'
3.79230532,30,'255','6'
3.7927411,30,'255',z
3.7931769,30,'255','26'
3.79353564,30,'255',F
3.9483114,31,'181','134'
3.94873544,31,'11',z
3.94916346,31,'255','26'
3.94959922,31,'255','133'
4.09632578,32,'255','0'
4.09668454,32,'255','0'
4.09712032,32,'255',M
4.09755606,32,'255',!
4.14032452,33,'180','128'
4.1406833,33,'141','0'
4.14110732,33,'255',N
4.14149008,33,'255','163'
4.29233912,34,'255','3'
4.29269788,34,'255',=
4.29313368,34,'255',\r
4.29356944,34,'255',F
4.44834544,35,'181','134'
4.44876948,35,'11',z
4.4491975,35,'255','26'
4.44963326,35,'255','133'
4.59635982,36,'255','0'
4.5967956,36,'255','0'
4.59715436,36,'255',F
4.5975449,36,'255','161'
4.64035856,37,'181','128'
4.64078258,37,'27','0'
4.6412106,37,'255','155'
4.64156938,37,'255',C
4.7923734,38,'255','6'
4.79280918,38,'255',z
4.79324496,38,'255','26'
4.79368072,38,'255','141'
4.95237972,,'181','134'
4.95280374,,'11',z
4.95323176,,'255','26'
4.95366754,,'255','133'
