Time [s],Packet ID,MOSI,MISO
4.346e-005,0,0x1D,0x85
0.00040226,0,0x08,0x32
0.0008263,0,0x7F,0x1D
0.0012543,0,0xFF,0x8D
3.54829648,1,0xBB,0x0A
3.5487205,1,0x05,0x72
3.54907928,1,0xFF,0x1D
3.5495073,1,0xFF,0x85
3.70030996,2,0xFF,0xFF
3.70074574,2,0xFF,0xFD
3.70118152,2,0xFF,0x3B
3.7016173,2,0xFF,0x0B
3.7163069,3,0xBB,0xFF
3.71673094,3,0x1B,0xFD
3.71715896,3,0xFF,0x3B
3.71759474,3,0xFF,0x1B
3.8683219,4,0xFF,0x0A
3.86875768,4,0xFF,0x84
3.86919346,4,0xFF,0x3B
3.86962922,4,0xFF,0x1B
3.98432576,5,0xBD,0x05
3.98468452,5,0x85,0x42
3.98510854,5,0xFF,0x1D
3.98553658,5,0xFF,0x85
4.13634098,6,0xFF,0xFF
4.13677676,6,0xFF,0xFD
4.13721254,6,0xFF,0x3B
4.13764832,6,0xFF,0x0B
4.15233768,7,0xBB,0xFF
4.15276172,7,0x1B,0xFD
4.15318974,7,0xFF,0x3E
4.15350326,7,0xFF,0xC6
4.30435292,8,0xFF,0x0A
4.3047887,8,0xFF,0x84
4.30522448,8,0xFF,0x1D
4.30558324,8,0xFF,0x8D
4.42435726,9,0xBB,0x0A
4.4247813,9,0x0B,0x84
4.42520932,9,0xFF,0x3B
4.42564508,9,0xFF,0x0B
4.57637224,10,0xFF,0xFF
4.57680802,10,0xFF,0xFD
4.5772438,10,0xFF,0x3B
4.57767958,10,0xFF,0x0B
4.60436964,11,0xBB,0xFF
4.60479368,11,0x1B,0xFD
4.6052217,11,0xFF,0x3B
4.60558048,11,0xFF,0x8D
4.75638488,12,0xFF,0x0A
4.75682066,12,0xFF,0x84
4.75725644,12,0xFF,0x3B
4.75769222,12,0xFF,0x1B
4.87638924,,0xBB,0x0A
4.87681326,,0x0B,0x84
4.87724128,,0xFF,0x3B
4.87767706,,0xFF,0x0B
